post_id,likes,shares,comments,creation_timestamp,permalink_url,post_text,page_id,post_type
159616034235_10156301910169236,712,94,170,2018-02-03 18:00:04.000,https://www.facebook.com/walmart/videos/10156301910169236/,"﻿When it comes to the big game, go big or go home. Don’t fumble on football fashion - show ‘em who you’re rooting for with your team's merchandise. 🏆 🏈 Get your gear in stores and online: http://walmart.com/fanshop",159616034235,VID
159616034235_10156306969234236,936,104,204,2018-02-05 16:00:05.000,https://www.facebook.com/walmart/videos/10156306969234236/,"﻿This Valentine’s Day, get them something they’ll love from our weekly ad: http://bit.ly/2FhzL0W   — Products shown: Heart Shaped, Frosted, or Mini Frosted Sugar Cookies, Bakery Valentine’s Party Sides, Diesel Fuel for Life Spray for Men, Jumbo Bear Plush, HARIBO® GOLD-BEARS® Heart or PJ Masks® Puzzle Heart, Dove® XL Heart, Elmer Chocolate® Pop-Up Card Heart and Calvin Klein Euphoria for Her.",159616034235,VID
159616034235_10156328885529236,314,43,23,2018-02-13 16:00:03.000,https://www.facebook.com/walmart/videos/10156328885529236/,﻿Clearer vision is in sight!  Discover the difference of HD Vision Rx prescription lenses. Exclusively at Walmart.,159616034235,VID
159616034235_2010895725842691,916,316,100,2018-02-13 19:28:01.000,https://www.facebook.com/walmart/videos/2010895725842691/,﻿#RampageMovie toys are available now exclusively at Walmart. Check out the latest trailer for the epic clash coming out this April and be ready for when #BigMeetsBigger! 🦍🐺🐊,159616034235,VID
159616034235_10156329841304236,1227,123,106,2018-02-13 22:13:02.000,https://www.facebook.com/walmart/posts/10156329841304236,"﻿For the last 19 years, our Slidell, Louisiana store has really let the good times roll! 🎉🎺🎭 Find out why this Mardi Gras parade is so great.",159616034235,PST
159616034235_10156338387609236,646,90,181,2018-02-16 22:01:01.000,https://www.facebook.com/walmart/videos/10156338387609236/,﻿Your refund looks even better when you shop Walmart’s weekly ad. Treat yourself this tax season: http://bit.ly/2FhzL0W,159616034235,VID
159616034235_10156349451004236,1073,162,154,2018-02-20 21:19:00.000,https://www.facebook.com/walmart/posts/10156349451004236,﻿Walmart shared Ellen DeGeneres's video.,159616034235,PST
159616034235_10156365573864236,592,54,285,2018-02-26 16:34:00.000,https://www.facebook.com/walmart/posts/10156365573864236,"﻿We challenged Nancy Meyers, Melissa McCarthy & Dee Rees to create and direct films inspired by #TheWalmartBox. See what they created, premiering at the #Oscars this Sunday.",159616034235,IMG
159616034235_10156374660514236,302,37,66,2018-03-01 17:55:04.000,https://www.facebook.com/walmart/videos/10156374660514236/,"﻿...do you dare open it? Coming Soon: Three short films directed by Nancy Meyers, Melissa McCarthy & Dee Rees inspired by #TheWalmartBox, premiering this #Oscar night. 🎬",159616034235,VID
159616034235_10156377116704236,349,42,36,2018-03-02 14:24:03.000,https://www.facebook.com/walmart/videos/10156377116704236/,"﻿Coming this #Oscars  – three delightfully different short films by Nancy Meyers, Melissa McCarthy & Dee Rees, all inspired by #TheWalmartBox!",159616034235,VID
159616034235_10156381692244236,289,31,45,2018-03-03 21:53:03.000,https://www.facebook.com/walmart/videos/10156381692244236/,"﻿Can you imagine a film inspired by #TheWalmartBox? Nancy Meyers, Melissa McCarthy & Dee Rees did - and you can watch all three of their short films premiere at the #Oscars this Sunday.",159616034235,VID
159616034235_10156385455934236,877,126,303,2018-03-05 02:03:05.000,https://www.facebook.com/walmart/videos/10156385455934236/,﻿Welcome to the live premiere of an out of this world film by director Dee Rees. It all begins when #TheWalmartBox arrives.,159616034235,VID
159616034235_10156385391364236,234,39,14,2018-03-05 02:38:04.000,https://www.facebook.com/walmart/videos/10156385391364236/,﻿And now…Nancy Meyers takes us on a creative musical journey in our second film of #Oscars night. It all begins when the #TheWalmartBox arrives.,159616034235,VID
159616034235_10156385365609236,857,308,90,2018-03-05 03:26:03.000,https://www.facebook.com/walmart/videos/10156385365609236/,"﻿Now presenting a beautiful and powerful film by Melissa McCarthy, inspired by #TheWalmartBox. 🎬",159616034235,VID
159616034235_10156387135559236,240,31,24,2018-03-05 15:21:03.000,https://www.facebook.com/walmart/videos/10156387135559236/,﻿The Oscars may have wrapped - but #TheWalmartBox journey doesn't have to end. Check out behind-the-scenes clips of the directors in action and relive the films all over again! 🤩  bit.ly/oscars-thebox,159616034235,VID
159616034235_10156385454904236,515,70,61,2018-03-05 16:30:00.000,https://www.facebook.com/walmart/posts/10156385454904236:0,﻿You loved Nancy Meyers’ #TheWalmartBox film...now explore where Hans Zimmer lays down the score with a unique 360° tour of his stunning LA studio. 🎶 #Oscars,159616034235,IMG
159616034235_10156387817459236,409,75,90,2018-03-05 20:01:01.000,https://www.facebook.com/walmart/videos/10156387817459236/,"﻿Superhero sighting! 👀These new Black Panther toys, action figures and collectibles are available exclusively at Walmart. Find them in stores and online! bit.ly/2oRvZoE",159616034235,VID
159616034235_10156396515649236,819,132,192,2018-03-08 17:11:03.000,https://www.facebook.com/walmart/posts/10156396515649236,﻿Happy International Women's Day! Meet some of the women who inspire us every day at Walmart. Who are the women in your life that inspire you? Tag them in the comments and share your stories.,159616034235,IMG
159616034235_10156422905094236,329,42,56,2018-03-17 13:09:00.000,https://www.facebook.com/walmart/videos/10156422905094236/,﻿Happy Saint Patrick's Day! 🍀We're lucky to have you as our customers and friends.,159616034235,VID
159616034235_10156429084834236,1541,308,396,2018-03-19 16:07:03.000,https://www.facebook.com/walmart/posts/10156429084834236,﻿We love every second of this! Congrats! ❤️,159616034235,PST
159616034235_10156438152959236,525,159,97,2018-03-22 16:59:02.000,https://www.facebook.com/walmart/videos/10156438152959236/,﻿Did you know it takes over 700 gallons of water to make one cotton t-shirt? We’ve learned it doesn’t have to be that way.,159616034235,VID
159616034235_10156441254654236,1525,282,134,2018-03-23 18:44:05.000,https://www.facebook.com/walmart/posts/10156441254654236,﻿Walmart shared Ellen DeGeneres's video.,159616034235,PST
159616034235_10156456453284236,1432,94,55,2018-03-28 22:25:05.000,https://www.facebook.com/walmart/posts/10156456453284236,﻿We love our #WalmartFamily. Thanks to Esther for her act of integrity and kindness. 💍,159616034235,PST
159616034235_10156458601339236,3360,977,544,2018-03-29 15:10:00.000,https://www.facebook.com/walmart/posts/10156458601339236:0,"﻿“Swim upstream. Go the other way. Ignore the conventional wisdom. If everybody else is doing it one way, there’s a good chance you can find your niche by going in exactly the opposite direction.” Today we remember our founder, Sam Walton, on his 100th birthday. His vision to help people #LiveBetter is what drives us every day.",159616034235,IMG
159616034235_10156462866539236,412,64,42,2018-03-30 15:18:04.000,https://www.facebook.com/walmart/posts/10156462866539236,﻿Walmart shared Cheerios's post.,159616034235,PST
159616034235_10156471732704236,2119,13084,136,2018-04-02 22:21:04.000,https://www.facebook.com/walmart/videos/10156471732704236/,"﻿Help #FightHunger with Walmart. For every share of this post, Walmart will donate $10 to Feeding America, up to $1.5 million. $10 helps secure 100 meals for people in need. Shares must take place between 4/2/2018 & 4/30/2018.",159616034235,VID
159616034235_10156476068534236,877,451,538,2018-04-04 17:14:05.000,https://www.facebook.com/walmart/videos/10156476068534236/,"﻿ICYMI: Mason Ramsey has officially yodeled his way into our hearts, so we’re putting on a concert at his local Walmart to let him shine! Wanna join him on stage? Show us your best yodel with #YodelChallenge",159616034235,VID
159616034235_10156476349664236,999,71,32,2018-04-04 19:48:02.000,https://www.facebook.com/walmart/posts/10156476349664236,"﻿Dr. Martin Luther King Jr. said, “Life’s most persistent and urgent question is, ‘What are you doing for others?’” Today we remember Dr. King and his legacy as people across the country volunteer their time to help others. We’re proud of Walmart Marietta - 210 Cobb Pkwy S and all those who are contributing acts of service.",159616034235,PST
159616034235_10156478772889236,383,99,68,2018-04-05 20:25:02.000,https://www.facebook.com/walmart/posts/10156478772889236,﻿Pickup towers + lockers make it easier to pick up everything from TVs 📺 to tennis balls 🎾. Now we’re adding over 500 more in locations across the country. bit.ly/2GxHAom,159616034235,PST
159616034235_10156489570979236,2638,106,140,2018-04-09 21:18:02.000,https://www.facebook.com/walmart/posts/10156489570979236,"﻿Sharon Davis has been a Walmart associate at our Paris, KY store since its opening 35 years ago last week. The store has become family to her, supporting her through all of life’s moments (including two battles with cancer). Happy anniversary, Sharon! We’re so lucky to have you!",159616034235,PST
159616034235_10156491033974236,18553,7589,7865,2018-04-10 13:32:05.000,https://www.facebook.com/walmart/videos/10156491033974236/,"﻿Check out the toe-tappin’, heart stealin’ #WalmartYodelBoy Mason Ramsey in his first-ever livestreamed concert hosted at his local Walmart in Harrisburg, IL this Wednesday, 4/11 at 4 p.m. CT/ 5 p.m. ET! Follow our page so you know when we go live! Here's a message from Mason himself. 👇",159616034235,VID
159616034235_10156491386694236,353,96,92,2018-04-10 15:57:05.000,https://www.facebook.com/walmart/posts/10156491386694236,"﻿Want to wish Mason Ramsey good luck for the LIVE concert on Wednesday, April 11? Comment below with a shout-out video using #WalmartYodelBoy for a chance to have it live streamed tomorrow!",159616034235,IMG
159616034235_10156492649909236,584,341,98,2018-04-11 00:21:01.000,https://www.facebook.com/walmart/videos/10156492649909236/,﻿We tip our 🎩 to this Greatest Showman flash mob for making the greatest show on earth come to life! ✨ Pick up your copy of the 20th Century Fox DVD today.,159616034235,VID
159616034235_10156494904089236,245,47,56,2018-04-11 19:38:02.000,https://www.facebook.com/walmart/videos/10156494904089236/,﻿It's almost show time! Who's ready to see Mason Ramsey #WalmartYodelBoy perform?! Stream it LIVE here at 4 pm CT/ 5 pm ET! 🎤,159616034235,VID
159616034235_10156495344199236,1928,1498,2671,2018-04-11 21:05:02.000,https://www.facebook.com/walmart/videos/10156494570004236/,"﻿Presenting Mason Ramsey LIVE! He’s yodeled into our hearts and onto our stage in Harrisburg, IL! 🎸🎶 #WalmartYodelBoy",159616034235,VID
159616034235_10156495861354236,345,151,70,2018-04-12 04:30:03.000,https://www.facebook.com/walmart/videos/10156495861354236/,"﻿""I was born ready!"" The one and only Mason Ramsey put on an incredible show for his local Walmart in Harrisburg, IL! 🎤🎸 #WalmartYodelBoy",159616034235,VID
